experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
HP,unlearned,Prompt,isolation_max,,,False,-,100
HP,unlearned,Prompt,isolation_min,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_mean,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_std,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_max,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_min,,,False,-,100
HP,unlearned,Prompt,cross_layer_consistency_mean,-0.002762929172182149,0.978234836500449,False,-,100
HP,unlearned,Prompt,cross_layer_consistency_std,0.04924211984946308,0.6265945859657476,False,+,100
HP,unlearned,Prompt,cross_layer_consistency_max,-0.002762929172182149,0.978234836500449,False,-,100
HP,unlearned,Prompt,cross_layer_consistency_min,-0.002762929172182149,0.978234836500449,False,-,100
TOFU_grad_ascent,base,Unlearning,local_density_mean,0.09068943714082271,0.3695356936346191,False,+,100
TOFU_grad_ascent,base,Unlearning,local_density_std,0.08297233040422619,0.41181256618476886,False,+,100
TOFU_grad_ascent,base,Unlearning,local_density_max,0.09453082849475454,0.3495201172529767,False,+,100
TOFU_grad_ascent,base,Unlearning,local_density_min,0.07111474770793214,0.4819949858970489,False,+,100
TOFU_grad_ascent,base,Unlearning,separability_mean,0.01624403095386104,0.872559215599014,False,+,100
TOFU_grad_ascent,base,Unlearning,separability_std,-0.05724289186048553,0.5716002948951275,False,-,100
TOFU_grad_ascent,base,Unlearning,separability_max,0.03680876937564663,0.7161692944841339,False,+,100
TOFU_grad_ascent,base,Unlearning,separability_min,0.046500521103761974,0.6459415003405222,False,+,100
TOFU_grad_ascent,base,Unlearning,centrality_mean,-0.13300784876359906,0.18709358596512274,False,-,100
TOFU_grad_ascent,base,Unlearning,centrality_std,0.024258014494649066,0.8106670703919798,False,+,100
TOFU_grad_ascent,base,Unlearning,centrality_max,-0.14175960857461628,0.15946022606051455,False,-,100
TOFU_grad_ascent,base,Unlearning,centrality_min,-0.16979748652993185,0.09123578259691137,False,-,100
TOFU_grad_ascent,base,Unlearning,isolation_mean,,,False,-,100
TOFU_grad_ascent,base,Unlearning,isolation_std,,,False,-,100
TOFU_grad_ascent,base,Unlearning,isolation_max,,,False,-,100
TOFU_grad_ascent,base,Unlearning,isolation_min,,,False,-,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_mean,,,False,-,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_std,,,False,-,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_max,,,False,-,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_min,,,False,-,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_mean,0.030616116900540107,0.7623602203691849,False,+,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_std,0.10744561274498142,0.2873144873530766,False,+,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_max,0.030616116900540107,0.7623602203691849,False,+,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_min,0.030616116900540107,0.7623602203691849,False,+,100
TOFU_grad_ascent,base,Embedding,local_density_mean,0.16491397754092965,0.10107726308408575,False,+,100
