experiment,geometry,target,model,n_features,cv_r2_mean,cv_r2_std,top_features,n_samples
TOFU_KL,unlearned,Extraction,RandomForest,24,-0.010526315789473762,0.02105263157894752,"[('local_density_max', 0.7419354838709677), ('local_density_std', 0.16129032258064516), ('local_density_mean', 0.0967741935483871), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_idk,base,Unlearning,Ridge,24,-0.28660124954287675,0.2074499951534154,"[('separability_min', 0.09811983531615115), ('separability_max', -0.09413765674861575), ('separability_std', 0.05692847508721829), ('local_density_mean', 0.04723624607796894), ('local_density_max', 0.0366601814151927)]",100
TOFU_idk,base,Unlearning,Lasso,24,-0.21467711608004958,0.1560876396423154,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_idk,base,Unlearning,RandomForest,24,-0.12791538892117332,0.36380337386168815,"[('separability_mean', 0.21188213169913184), ('centrality_mean', 0.1830980441666625), ('local_density_std', 0.10678696846692055), ('separability_std', 0.08587865709834844), ('centrality_min', 0.06665489247340427)]",100
TOFU_idk,base,Extraction,Ridge,24,-0.48052621796037875,0.714522506378588,"[('separability_max', 0.0913264775610494), ('separability_min', -0.06423869822595016), ('local_density_mean', -0.049520772694912465), ('separability_mean', -0.04830175447368007), ('separability_std', -0.03764567816542867)]",100
TOFU_idk,base,Extraction,Lasso,24,-0.2929219649989753,0.32912806142559214,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_idk,base,Extraction,RandomForest,24,-0.6947799793470393,0.9465988778155054,"[('centrality_max', 0.1527278307152248), ('separability_mean', 0.14572027200437807), ('separability_std', 0.11066111364165226), ('centrality_mean', 0.07818806707181045), ('separability_min', 0.07568883827207465)]",100
TOFU_idk,unlearned,Unlearning,Ridge,24,-0.19635422798233865,0.4167211738825856,"[('local_density_mean', 0.09104615246832538), ('separability_mean', 0.06726807406606983), ('separability_max', -0.06284908665887907), ('local_density_min', -0.06176453471608007), ('separability_std', 0.02344469912745692)]",100
TOFU_idk,unlearned,Unlearning,Lasso,24,-0.21467711608004958,0.1560876396423154,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_idk,unlearned,Unlearning,RandomForest,24,-0.03542148314311264,0.2825216570555187,"[('separability_mean', 0.17385708969614516), ('centrality_max', 0.15624468453826695), ('centrality_std', 0.1404885106050703), ('separability_std', 0.09610119042853145), ('centrality_min', 0.08724703625730428)]",100
TOFU_idk,unlearned,Extraction,Ridge,24,-0.28704075182406996,0.37755408699869736,"[('separability_mean', -0.12688926285639066), ('local_density_mean', -0.08304594727239405), ('separability_max', 0.07279371696703252), ('local_density_max', 0.05601120601603262), ('separability_min', 0.025481626774549123)]",100
TOFU_idk,unlearned,Extraction,Lasso,24,-0.2929219649989753,0.32912806142559214,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_idk,unlearned,Extraction,RandomForest,24,-0.2766887946942616,0.290529539706748,"[('centrality_max', 0.15837026719493297), ('separability_std', 0.15483316923379248), ('separability_mean', 0.12569193174199994), ('centrality_std', 0.10817082720721587), ('centrality_min', 0.0924617083009388)]",100
