feature,pearson_r,p_value,significant,direction,experiment,geometry,target
centrality_mean,-0.07254159220944685,0.4732251700544109,False,negative,TOFU_grad_ascent,unlearned,Extraction
centrality_std,-0.11725749052543841,0.24529811999109774,False,negative,TOFU_grad_ascent,unlearned,Extraction
centrality_max,-0.07879016661019472,0.4358570714943269,False,negative,TOFU_grad_ascent,unlearned,Extraction
centrality_min,0.08353547575573428,0.4086351545642238,False,positive,TOFU_grad_ascent,unlearned,Extraction
isolation_mean,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
isolation_std,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
isolation_max,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
isolation_min,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
cluster_compactness_mean,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
cluster_compactness_std,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
cluster_compactness_max,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
cluster_compactness_min,,,False,negative,TOFU_grad_ascent,unlearned,Extraction
cross_layer_consistency_mean,-0.019016528469578197,0.8510401762655097,False,negative,TOFU_grad_ascent,unlearned,Extraction
cross_layer_consistency_std,-0.10851353413153463,0.2825226806787037,False,negative,TOFU_grad_ascent,unlearned,Extraction
cross_layer_consistency_max,-0.019016528469578197,0.8510401762655097,False,negative,TOFU_grad_ascent,unlearned,Extraction
cross_layer_consistency_min,-0.019016528469578197,0.8510401762655097,False,negative,TOFU_grad_ascent,unlearned,Extraction
local_density_mean,0.25233964238462175,0.011315536572453579,True,positive,TOFU_idk,base,Unlearning
local_density_std,0.2555365240566733,0.010288178014608271,True,positive,TOFU_idk,base,Unlearning
local_density_max,0.2732233559871629,0.005951855839008324,True,positive,TOFU_idk,base,Unlearning
local_density_min,0.17814715749397017,0.07618101916590841,False,positive,TOFU_idk,base,Unlearning
separability_mean,0.31365818800835715,0.0014842667163169694,True,positive,TOFU_idk,base,Unlearning
separability_std,0.04871180777583488,0.6303177465631739,False,positive,TOFU_idk,base,Unlearning
separability_max,0.2573940204341625,0.009729588080000552,True,positive,TOFU_idk,base,Unlearning
separability_min,0.28732627973110747,0.003749268665849525,True,positive,TOFU_idk,base,Unlearning
centrality_mean,0.19072740033700641,0.05733048051630828,False,positive,TOFU_idk,base,Unlearning
centrality_std,-0.04267487575827676,0.6733348126408695,False,negative,TOFU_idk,base,Unlearning
centrality_max,0.01278435249091466,0.8995408734816795,False,positive,TOFU_idk,base,Unlearning
centrality_min,0.06040378571020757,0.5505146526806383,False,positive,TOFU_idk,base,Unlearning
isolation_mean,,,False,negative,TOFU_idk,base,Unlearning
isolation_std,,,False,negative,TOFU_idk,base,Unlearning
isolation_max,,,False,negative,TOFU_idk,base,Unlearning
isolation_min,,,False,negative,TOFU_idk,base,Unlearning
cluster_compactness_mean,,,False,negative,TOFU_idk,base,Unlearning
cluster_compactness_std,,,False,negative,TOFU_idk,base,Unlearning
cluster_compactness_max,,,False,negative,TOFU_idk,base,Unlearning
cluster_compactness_min,,,False,negative,TOFU_idk,base,Unlearning
cross_layer_consistency_mean,0.11894073775906981,0.23854042281768348,False,positive,TOFU_idk,base,Unlearning
cross_layer_consistency_std,-0.035552089360842296,0.725466695605212,False,negative,TOFU_idk,base,Unlearning
cross_layer_consistency_max,0.11894073775906981,0.23854042281768348,False,positive,TOFU_idk,base,Unlearning
cross_layer_consistency_min,0.11894073775906981,0.23854042281768348,False,positive,TOFU_idk,base,Unlearning
local_density_mean,-0.22833153392232958,0.022319833626247485,True,negative,TOFU_idk,base,Extraction
local_density_std,-0.12084960031811137,0.231034786480663,False,negative,TOFU_idk,base,Extraction
local_density_max,-0.19004411409541921,0.05824546007975034,False,negative,TOFU_idk,base,Extraction
local_density_min,-0.2142400932583482,0.03232374925189382,True,negative,TOFU_idk,base,Extraction
separability_mean,-0.280534287250446,0.004697506607776667,True,negative,TOFU_idk,base,Extraction
separability_std,-0.008771685389011557,0.9309769937205674,False,negative,TOFU_idk,base,Extraction
separability_max,-0.2065164160087493,0.03925741530317181,True,negative,TOFU_idk,base,Extraction
separability_min,-0.25659140977159084,0.009967598999021277,True,negative,TOFU_idk,base,Extraction
centrality_mean,-0.1444004850634444,0.15175090003531028,False,negative,TOFU_idk,base,Extraction
centrality_std,-0.08050086697098831,0.4259268168900133,False,negative,TOFU_idk,base,Extraction
centrality_max,-0.06657660836098792,0.5104568474657889,False,negative,TOFU_idk,base,Extraction
centrality_min,0.06423301755042186,0.5254866971332931,False,positive,TOFU_idk,base,Extraction
isolation_mean,,,False,negative,TOFU_idk,base,Extraction
isolation_std,,,False,negative,TOFU_idk,base,Extraction
isolation_max,,,False,negative,TOFU_idk,base,Extraction
isolation_min,,,False,negative,TOFU_idk,base,Extraction
cluster_compactness_mean,,,False,negative,TOFU_idk,base,Extraction
cluster_compactness_std,,,False,negative,TOFU_idk,base,Extraction
cluster_compactness_max,,,False,negative,TOFU_idk,base,Extraction
cluster_compactness_min,,,False,negative,TOFU_idk,base,Extraction
cross_layer_consistency_mean,-0.1545380084419802,0.12473740960921047,False,negative,TOFU_idk,base,Extraction
cross_layer_consistency_std,-0.009946787500410812,0.9217578125789356,False,negative,TOFU_idk,base,Extraction
cross_layer_consistency_max,-0.1545380084419802,0.12473740960921047,False,negative,TOFU_idk,base,Extraction
cross_layer_consistency_min,-0.1545380084419802,0.12473740960921047,False,negative,TOFU_idk,base,Extraction
local_density_mean,0.2978657292587304,0.0026138336640795243,True,positive,TOFU_idk,unlearned,Unlearning
