experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant,direction,n
HP,unlearned,Embedding,local_density_std,-0.024490739301697203,0.808885105138439,-0.049676608627013695,0.6235511326329682,False,-,100
HP,unlearned,Embedding,local_density_max,0.08738806784693359,0.3872861666410122,0.01941083200894028,0.8479882183255392,False,+,100
HP,unlearned,Embedding,local_density_min,0.12389073495855965,0.2194211697922528,0.1037970325311139,0.30409120434780934,False,+,100
HP,unlearned,Embedding,separability_mean,-0.10264372037376249,0.3095249140225169,-0.10594179059887437,0.29415325860213015,False,-,100
HP,unlearned,Embedding,separability_std,-0.015860703388814394,0.8755421433390976,-0.08376900395591158,0.40732175522225533,False,-,100
HP,unlearned,Embedding,separability_max,-0.1076511278176695,0.2863881618974709,-0.10902005847310615,0.28026864408336394,False,-,100
HP,unlearned,Embedding,separability_min,-0.0937565210999383,0.35349912582320475,-0.06700440222481968,0.5077374196652673,False,-,100
HP,unlearned,Embedding,centrality_mean,-0.048997742326569976,0.6283091304096664,-0.045225078392848936,0.6550240973447663,False,-,100
HP,unlearned,Embedding,centrality_std,0.05520961818130937,0.5853606237879807,0.07878514168334583,0.43588643239666347,False,+,100
HP,unlearned,Embedding,centrality_max,0.08491280921374669,0.40092470172991507,0.09898289931427019,0.32718825730602186,False,+,100
HP,unlearned,Embedding,centrality_min,-0.0008062157978506821,0.993648270247342,0.015005591517245167,0.8822025562159541,False,-,100
HP,unlearned,Embedding,isolation_mean,,,,,False,-,100
HP,unlearned,Embedding,isolation_std,,,,,False,-,100
HP,unlearned,Embedding,isolation_max,,,,,False,-,100
HP,unlearned,Embedding,isolation_min,,,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_mean,,,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_std,,,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_max,,,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_min,,,,,False,-,100
HP,unlearned,Embedding,cross_layer_consistency_mean,-0.17869203797474928,0.07527246899481305,-0.18870721401685042,0.06007023427013907,False,-,100
HP,unlearned,Embedding,cross_layer_consistency_std,0.14944820880388926,0.13779812139157205,0.18199764204814875,0.06994571765810016,False,+,100
HP,unlearned,Embedding,cross_layer_consistency_max,-0.17869203797474928,0.07527246899481305,-0.18870721401685042,0.06007023427013907,False,-,100
HP,unlearned,Embedding,cross_layer_consistency_min,-0.17869203797474928,0.07527246899481305,-0.18870721401685042,0.06007023427013907,False,-,100
TOFU_grad_diff,base,Unlearning,local_density_mean,-0.02831481310867017,0.779750395738776,0.023953078816610983,0.8130034132402877,False,-,100
TOFU_grad_diff,base,Unlearning,local_density_std,-0.023571331961353043,0.8159305736089166,0.123081127566572,0.22247182860347595,False,-,100
TOFU_grad_diff,base,Unlearning,local_density_max,0.02510826045039104,0.8041615194095187,0.06965104049919191,0.4910810174534552,False,+,100
TOFU_grad_diff,base,Unlearning,local_density_min,0.012056589436845287,0.9052322613015759,0.04089633933508107,0.6862194871541133,False,+,100
TOFU_grad_diff,base,Unlearning,separability_mean,0.4035075443034692,3.1440622833074155e-05,0.48719956950856963,2.7420749031512894e-07,True,+,100
TOFU_grad_diff,base,Unlearning,separability_std,0.08471294637547125,0.4020381868367573,-0.005214369254161724,0.9589362974730591,False,+,100
TOFU_grad_diff,base,Unlearning,separability_max,0.3612967057018532,0.00022152879438292914,0.37227707246368075,0.0001367314726927623,True,+,100
TOFU_grad_diff,base,Unlearning,separability_min,0.40072275790942496,3.606200007874289e-05,0.4976558244773372,1.3810654340311057e-07,True,+,100
TOFU_grad_diff,base,Unlearning,centrality_mean,0.18732004918156786,0.062012682958091835,0.23919371152566926,0.016540477038061083,False,+,100
TOFU_grad_diff,base,Unlearning,centrality_std,-0.44482201222835765,3.5398665976371607e-06,-0.322878146851365,0.0010513732322314346,True,-,100
TOFU_grad_diff,base,Unlearning,centrality_max,-0.03741847976352434,0.7116732090481495,-0.07071730334140176,0.48445320157530936,False,-,100
TOFU_grad_diff,base,Unlearning,centrality_min,0.4711236951071984,7.53613820058045e-07,0.4076288450192706,2.5607682279390768e-05,True,+,100
TOFU_grad_diff,base,Unlearning,isolation_mean,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,isolation_std,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,isolation_max,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,isolation_min,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,cluster_compactness_mean,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,cluster_compactness_std,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,cluster_compactness_max,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,cluster_compactness_min,,,,,False,-,100
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_mean,0.26460684460828704,0.007804849181803817,0.16396470940513508,0.10308353445125132,True,+,100
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_std,0.052905370745033445,0.6011353421623585,-0.03747989479381714,0.7112208702062826,False,+,100
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_max,0.26460684460828704,0.007804849181803817,0.16396470940513508,0.10308353445125132,True,+,100
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_min,0.26460684460828704,0.007804849181803817,0.16396470940513508,0.10308353445125132,True,+,100
TOFU_grad_diff,base,Steering,local_density_mean,0.014594027731167811,0.8854111561472502,0.08571329330603719,0.3964833214124678,False,+,100
TOFU_grad_diff,base,Steering,local_density_std,0.028322399641653215,0.7796928829474719,-0.037455150988300275,0.7114031032102557,False,+,100
